CAS-RN,SMILES,train/test,LC50[-LOG(mol/L)],TPSA(Tot),SAacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040
306-83-2,ClC(C(F)(F)F)Cl,train,3.954,0,44.88,0,2.419,1.509,0.731,0,0
50-29-3,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,train,8.271,0,0,0,6.166,2.959,0.57,0,0
56-23-5,ClC(Cl)(Cl)Cl,train,3.643,0,0,0,2.226,1.265,2.5,0,0
67-66-3,ClC(Cl)Cl,train,3.254,0,0,0,1.817,1.225,0.502,0,0
77-47-4,ClC1=C(Cl)C(C(=C1Cl)Cl)(Cl)Cl,train,6.720,0,0,0,3.558,1.978,1,0,0
60-57-1,ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,train,6.508,12.53,11,0,4.452,2.862,0.543,0,0
1031-07-8,ClC1=C(Cl)C2(C(C1(Cl)C1C2COS(=O)(=O)OC1)(Cl)Cl)Cl,train,5.300,60.98,61.404,0,3.429,2.749,1.08,0,0
1024-57-3,ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,train,6.210,12.53,11,0,4.214,2.687,0.504,0,0
76-44-8,ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,train,6.777,0,0,0,5.124,2.515,0.456,0,0
12789-03-6,ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,train,6.623,0,0,0,5.469,2.573,0.465,0,0
79-01-6,ClC=C(Cl)Cl,train,3.485,0,0,0,2.081,1.401,0.501,0,0
156-60-5,ClC=CCl,train,2.642,0,0,0,1.672,1.334,0.562,0,0
96-18-4,ClCC(CCl)Cl,train,3.655,0,0,0,2.604,1.559,0.664,0,0
630-20-6,ClCC(Cl)(Cl)Cl,train,3.842,0,0,0,2.604,1.43,0.505,0,0
78-87-5,ClCC(Cl)C,train,3.339,0,0,0,2.226,1.401,0.826,0,0
106-89-8,ClCC1CO1,train,3.587,12.53,11,0,0.408,1.689,1.038,0,0
542-75-6,ClCC=CCl,train,4.322,0,0,0,2.081,1.509,0.685,0,0
107-06-2,ClCCCl,train,2.490,0,0,0,1.817,1.334,0.718,0,0
111-91-1,ClCCOCOCCCl,train,2.937,18.46,22,0,1.466,2.15,1.22,0,0
16672-87-0,ClCCP(=O)(O)O,train,3.044,67.34,94.527,2,-0.297,1.604,1.682,0,0
634-66-2,Clc1c(Cl)ccc(c1Cl)Cl,train,5.600,0,0,0,4.634,2.018,0.461,0,0
87-61-6 ,Clc1c(Cl)cccc1Cl,train,4.750,0,0,0,4.063,1.96,0.499,0,0
87-86-5,Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,train,5.560,20.23,42.683,1,3.909,2.12,0.281,0,0
18259-05-7,Clc1c(c2ccccc2)c(Cl)c(c(c1Cl)Cl)Cl,train,7.610,0,0,0,6.232,2.728,0.493,0,0
38380-07-3,Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,train,8.780,0,0,0,6.47,2.805,0.469,0,0
1570-65-6,Clc1cc(C)c(c(c1)Cl)O,train,5.632,20.23,42.683,1,3.046,2.027,0.602,0,0
634-90-2,Clc1cc(Cl)c(c(c1)Cl)Cl,train,4.874,0,0,0,4.634,2.027,0.461,0,0
88-06-2,Clc1cc(Cl)c(c(c1)Cl)O,train,4.495,20.23,42.683,1,3.314,2.027,0.409,0,0
608-93-5,Clc1cc(Cl)c(c(c1Cl)Cl)Cl,train,4.674,0,0,0,4.926,2.074,0.478,0,0
636-30-6,Clc1cc(Cl)c(cc1N)Cl,train,4.761,26.02,32.897,2,3.314,2.031,0.366,1,0
95-95-4,Clc1cc(Cl)c(cc1O)Cl,train,4.864,20.23,42.683,1,3.314,2.031,0.409,0,0
35065-27-1,Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl,train,8.440,0,0,0,6.47,2.821,0.469,0,0
15862-07-4,Clc1cc(Cl)c(cc1c1ccccc1)Cl,train,5.640,0,0,0,5.472,2.676,0.577,0,0
1836-77-7,Clc1cc(Cl)cc(c1Oc1ccc(cc1)[N+](=O)[O-])Cl,train,5.878,55.05,61.747,0,4.296,3.055,0.603,1,0
618-62-2,Clc1cc(cc(c1)Cl)[N+](=O)[O-],train,4.434,45.82,50.747,0,3.11,2.165,0.478,1,0
50594-66-6,Clc1cc(ccc1Oc1ccc(c(c1)C(=O)O)[N+](=O)[O-])C(F)(F)F,train,4.257,92.35,174.455,1,3.84,3.373,0.802,1,1
1570-64-5,Clc1ccc(c(c1)C)O,train,5.691,20.23,42.683,1,2.461,1.975,0.737,0,0
95-73-8,Clc1ccc(c(c1)Cl)C,train,5.420,0,0,0,3.795,1.975,0.657,0,0
112281-77-3,Clc1ccc(c(c1)Cl)C(Cn1cncn1)COC(C(F)F)(F)F,train,4.713,39.94,104.289,0,4.281,3.357,1.002,3,0
120-82-1,Clc1ccc(c(c1)Cl)Cl,train,4.830,0,0,0,4.063,1.975,0.499,0,0
554-00-7,Clc1ccc(c(c1)Cl)N,train,5.430,26.02,32.897,2,2.729,1.975,0.462,1,0
120-83-2,Clc1ccc(c(c1)Cl)O,train,4.797,20.23,42.683,1,2.729,1.975,0.5,0,0
611-06-3,Clc1ccc(c(c1)Cl)[N+](=O)[O-],train,4.660,45.82,50.747,0,3.11,2.16,0.478,1,0
2437-79-8,Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,train,6.989,0,0,0,5.989,2.733,0.529,0,0
95-82-9,Clc1ccc(c(c1)N)Cl,train,4.742,26.02,32.897,2,2.729,1.975,0.462,1,0
3380-34-5,Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl,train,6.109,29.46,53.683,1,3.842,2.887,0.614,0,0
89-59-8,Clc1ccc(c(c1)[N+](=O)[O-])C,train,4.268,45.82,50.747,0,2.842,2.154,0.726,1,0
25875-51-8,Clc1ccc(cc1)/C=N/N/C(=N/N=C/c1ccc(cc1)Cl)/N,train,6.650,75.13,100.774,3,4.512,3.662,0.702,5,0
106-46-7,Clc1ccc(cc1)Cl,train,4.138,0,0,0,3.478,1.924,0.575,0,0
1982-47-4,Clc1ccc(cc1)Oc1ccc(cc1)NC(=O)N(C)C,train,4.992,41.57,57.28,1,3.18,3.292,1.014,2,0
116-29-0,Clc1ccc(cc1)S(=O)(=O)c1cc(Cl)c(cc1Cl)Cl,train,4.711,42.52,44.313,0,4.746,2.905,0.916,0,0
100-00-5,Clc1ccc(cc1)[N+](=O)[O-],train,4.310,45.82,50.747,0,2.509,2.119,0.617,1,0
7012-37-5,Clc1ccc(cc1)c1ccc(cc1Cl)Cl,train,6.209,0,0,0,5.472,2.703,0.577,0,0
2051-62-9,Clc1ccc(cc1)c1ccccc1,train,5.626,0,0,0,4.416,2.605,0.723,0,0
32598-13-3,Clc1ccc(cc1Cl)c1ccc(c(c1)Cl)Cl,train,8.160,0,0,0,5.989,2.758,0.529,0,0
35693-99-3,Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,train,6.990,0,0,0,5.989,2.712,0.529,0,0
59467-70-8,Clc1ccc2c(c1)C(=NCc1n2c(C)nc1)c1ccccc1F,train,6.212,30.18,48.531,0,4.27,3.354,0.867,3,0
91-58-7,Clc1ccc2c(c1)cccc2,train,5.500,0,0,0,3.945,2.344,0.678,0,0
541-73-1,Clc1cccc(c1)Cl,train,4.304,0,0,0,3.478,1.918,0.575,0,0
121-73-3,Clc1cccc(c1)[N+](=O)[O-],train,3.840,45.82,50.747,0,2.509,2.108,0.617,1,0
2051-61-8,Clc1cccc(c1)c1ccccc1,train,5.641,0,0,0,4.416,2.591,0.723,0,0
90-13-1,Clc1cccc2c1cccc2,train,5.009,0,0,0,3.945,2.324,0.678,0,0
108-90-7,Clc1ccccc1,train,3.918,0,0,0,2.876,1.857,0.699,0,0
95-50-1,Clc1ccccc1Cl,train,4.787,0,0,0,3.478,1.908,0.575,0,0
58-55-9,CN1C2=C(C(=O)N(C1=O)C)NC=N2,train,2.572,72.68,73.324,1,0.403,2.355,1.424,4,1
59756-60-4,CN1C=C(c2ccccc2)C(=O)C(=C1)c1cccc(c1)C(F)(F)F,train,4.900,22,73.15,0,3.983,3.431,0.951,1,0
58-08-2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,train,3.028,61.82,73.324,0,0.736,2.405,1.546,4,1
811-97-2,FCC(F)(F)F,train,2.018,0,59.84,0,1.817,1.43,1.988,0,0
51-21-8,C1=C(C(=O)NC(=O)N1)F,train,3.716,65.72,101.271,2,-0.234,1.975,1.091,2,1
85721-33-1,OC(=O)C1=CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1=O,train,3.742,74.57,132.193,2,1.671,3.501,1.095,3,1
133855-98-8,Fc1ccc(cc1)C1(Cn2cncn2)OC1c1ccccc1Cl,train,4.579,43.24,59.409,0,4.396,3.542,0.91,3,0
61869-08-7,Fc1ccc(cc1)C1CCNCC1COc1ccc2c(c1)OCO2,train,5.754,39.72,65.971,1,3.289,3.767,1.129,1,0
106266-06-2,CC1=C(CCN2CCC(CC2)c2noc3cc(F)ccc23)C(=O)N2CCCCC2=N1,train,4.835,64.16,92.47,0,3.613,4.245,1.175,4,2
66230-04-4,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,train,8.582,59.32,78.204,0,4.832,4.074,0.962,1,2
91465-08-6,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)/C=C(/C(F)(F)F)\Cl,train,8.678,59.32,123.084,0,4.217,4.111,0.994,1,2
66841-25-6,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,train,9.945,59.32,78.204,0,4.794,3.99,0.645,1,2
67375-30-8,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,train,9.063,59.32,78.204,0,3.907,3.934,0.908,1,2
51481-61-9,N#CN/C(=N\C)/NCCSCc1[nH]cnc1C,train,2.533,114.19,100.652,3,0.821,3.06,1.082,6,1
115-31-1,N#CSCC(=O)OC1CC2C(C1(C)CC2)(C)C,train,6.475,75.39,67.204,0,2.981,2.784,1.072,1,2
6317-18-6,N#CSCSC#N,train,6.251,98.18,62.119,0,0.796,1.84,0.743,2,2
68359-37-5,N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,train,9.133,59.32,93.164,0,4.279,3.962,0.907,1,2
52918-63-5,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Br)Br,train,10.047,59.32,78.204,0,4.115,3.934,0.76,1,2
59729-33-8,N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,train,4.920,36.26,60.144,0,3.3,3.469,1.102,2,1
14080-23-0,N#Cc1ncccn1,train,3.340,49.57,64.63,0,-0.259,1.989,1.103,3,1
76824-35-6,NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N,train,2.928,237.75,223.047,8,0.083,3.249,1.04,7,1
79-06-1,NC(=O)C=C,train,2.649,43.09,58.042,2,-0.38,1.401,1.151,1,1
127779-20-8,NC(=O)CC(C(=O)NC(C(CN1CC2CCCCC2CC1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,train,4.270,166.75,250.102,6,1.632,5.369,1.145,6,4
298-46-4,NC(=O)N1c2ccccc2C=Cc2c1cccc2,train,4.234,48.02,61.166,2,2.589,2.919,0.826,2,0
2008-58-4,NC(=O)c1c(Cl)cccc1Cl,train,2.348,43.09,58.042,2,2.481,2.133,0.506,1,1
62-56-6,NC(=S)N,train,3.884,84.13,65.794,4,-1.434,1.225,0.335,2,0
103-85-5,NC(=S)Nc1ccccc1,train,3.476,70.14,50.908,3,1.294,2.203,0.591,2,0
107-11-9,NCC=C,train,3.133,26.02,32.897,2,0.202,1.334,1.347,1,0
107-15-3,NCCN,train,3.358,52.04,65.794,4,-1.053,1.334,1.61,2,0
54-85-3,NNC(=O)c1ccncc1,train,3.775,68.01,92.593,3,-0.283,2.17,0.893,3,1
626-43-7,Nc1cc(Cl)cc(c1)Cl,train,5.160,26.02,32.897,2,2.729,1.979,0.462,1,0
634-67-3,Nc1ccc(c(c1Cl)Cl)Cl,train,5.430,26.02,32.897,2,3.314,2.018,0.366,1,0
106-47-8,Nc1ccc(cc1)Cl,train,6.409,26.02,32.897,2,2.127,1.924,0.597,1,0
108-45-2,Nc1cccc(c1)N,train,4.263,52.04,65.794,4,0.893,1.918,0.732,2,0
62-53-3,Nc1ccccc1,train,5.371,26.02,32.897,2,1.506,1.857,0.815,1,0
7481-89-2,C1CC(OC1CO)N2C=CC(=NC2=O)N,train,2.072,90.37,131.635,3,0.332,2.706,1.313,3,1
396-01-0,Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,train,4.404,129.62,165.834,6,2.703,3.078,0.775,7,0
75-21-8,O1CC1,train,2.332,12.53,11,0,-0.564,1.5,1.733,0,0
96-09-3,O1CC1c1ccccc1,train,4.018,12.53,11,0,1.533,2.274,1.026,0,0
13311-84-7,O=C(C(C)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],train,5.301,74.92,138.783,1,3.16,2.827,1.14,2,1
82657-04-3,O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,train,8.112,26.3,81.025,0,5.4,3.936,0.991,0,1
35367-38-5,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,train,7.802,58.2,116.232,2,3.508,3.281,0.803,2,1
101-20-2,O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl,train,7.478,41.13,61.166,2,3.988,3.169,0.627,2,0
143-50-0,O=C1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,train,6.394,17.07,25.145,0,4.912,2.659,0.491,0,0
935-92-2,O=C1C=C(C)C(=O)C(=C1C)C,train,5.001,34.14,50.29,0,1.415,2.074,1.108,0,0
58-27-5,O=C1C=C(C)C(=O)c2c1cccc2,train,5.545,34.14,50.29,0,2.233,2.415,0.866,0,0
98319-26-7,O=C1C=CC2(C(N1)CCC1C2CCC2(C1CCC2C(=O)NC(C)(C)C)C)C,train,4.249,58.2,86.311,2,3.652,3.557,1.237,2,2
58-22-0,O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,train,5.170,37.3,67.828,1,3.696,3.117,1.149,0,0
503-87-7,O=C1CNC(=S)N1,train,3.769,73.22,61.166,2,-1.202,1.795,0.599,2,1
67-20-9,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],train,3.508,120.73,148.22,1,0.096,2.964,1.16,4,1
120-93-4,O=C1NCCN1,train,1.188,41.13,61.166,2,-1.095,1.726,1.463,2,0
71-63-6,O=C1OCC(=C1)C1CCC2(C1(C)CCC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,train,3.884,182.83,315.561,5,1.662,5.831,1.351,0,1
20830-75-5,O=C1OCC(=C1)C1CCC2(C1(C)C(O)CC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,train,4.566,203.06,358.244,6,0.957,5.839,1.345,0,1
111-30-8,O=CCCCC=O,train,3.788,34.14,50.29,0,0.076,1.84,1.493,0,0
68-12-2,O=CN(C)C,train,0.704,20.31,28.269,0,-0.273,1.401,2.073,1,1
2144-08-3,O=Cc1ccc(c(c1O)O)O,train,3.669,77.76,153.195,3,0.559,2.137,0.767,0,0
100-52-7,O=Cc1ccccc1,train,3.976,17.07,25.145,0,1.769,1.989,0.927,0,0
88-75-5,O=N(=O)c1ccccc1O,train,4.024,66.05,93.43,1,1.348,2.09,0.784,1,0
86-30-6,O=NN(c1ccccc1)c1ccccc1,train,4.403,32.67,47.536,0,3.223,2.773,0.881,2,0
115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,train,5.512,54.57,41.028,0,4.789,3.58,1.505,0,0
103577-45-3,O=S(c1nc2c([nH]1)cccc2)Cc1nccc(c1C)OCC(F)(F)F,train,4.225,87.08,111.608,1,1.749,3.666,1.085,3,0
825-44-5,O=S1(=O)C=Cc2c1cccc2,train,4.072,42.52,44.313,0,1.473,2.241,1.158,0,0
1016-05-3,O=S1(=O)c2ccccc2c2c1cccc2,train,4.570,42.52,44.313,0,2.777,2.643,1.055,0,0
33213-65-9,O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,train,6.075,54.74,39.247,0,3.115,2.706,0.946,0,0
141-90-2,O=C1NC(=S)NC=C1,train,4.221,80.74,61.166,2,-0.31,1.918,0.578,2,1
91-64-5,O=C1Oc2ccccc2C=C1,train,4.032,30.21,36.145,0,2.265,2.344,0.923,0,1
51235-04-2,CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,train,3.220,60.13,76.448,0,2.288,2.848,1.591,4,0
1013-23-6,O=S1c2ccccc2-c2ccccc12,train,4.001,38.77,22.156,0,2.779,2.639,0.859,0,0
77501-87-2,OC(=O)C(OC(=O)c1cc(ccc1N(=O)=O)Oc1ccc(cc1Cl)C(F)(F)F)C,train,4.501,118.65,210.6,1,3.773,3.759,0.95,1,2
22071-15-4,OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,train,3.599,54.37,92.973,1,3.374,3.061,0.91,0,1
1740-19-8,OC(=O)C1(C)CCCC2(C1CCc1c2ccc(c1)C(C)C)C,train,4.560,37.3,67.828,1,4.548,3.101,1.137,0,1
139-13-9,OC(=O)CN(CC(=O)O)CC(=O)O,train,2.736,115.14,206.609,3,-1.169,2.333,1.496,1,3
94-74-6,OC(=O)COc1ccc(cc1C)Cl,train,3.047,46.53,78.828,1,2.086,2.455,0.941,0,1
94-75-7,OC(=O)COc1ccc(cc1Cl)Cl,train,3.783,46.53,78.828,1,2.354,2.455,0.743,0,1
77-06-5,OC(=O)C1C2C3(C4C51CC(=C)C(C5)(O)CC4)C=CC(C2(C)C(=O)O3)O,train,4.187,104.06,189.34,3,1.929,3.197,1.021,0,2
69-72-7,OC(=O)c1ccccc1O,train,3.068,57.53,110.512,2,1.643,2.09,0.814,0,1
1918-02-1,OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,train,3.644,76.21,117.511,3,1.119,2.25,0.375,2,1
76738-62-0,OC(C(C)(C)C)C(n1ncnc1)Cc1ccc(cc1)Cl,train,4.010,50.94,76.132,1,3.77,3.091,1.081,3,0
22664-55-7,OC(COc1cc(C)c(c(c1C)C)OC(=O)C)CNC(C)C,train,3.917,67.79,107.839,2,2.347,3.243,1.4,1,1
29122-68-7,OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,train,3.902,84.58,129.736,4,0.925,3.178,1.263,2,1
42200-33-9,OC(COc1cccc2c1CC(O)C(C2)O)CNC(C)(C)C,train,3.277,81.95,157.061,4,1.358,3.325,1.248,1,0
57775-29-8,OC(COc1cccc2c1c1ccccc1[nH]2)CNC(C)C,train,4.305,57.28,71.694,3,2.124,3.455,1.069,2,0
5251-34-3,OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2C=C(C2=CC(=O)C=CC12C)Cl,train,3.961,94.83,178.34,3,1.661,3.391,0.942,0,0
78-83-1,OCC(C)C,train,1.820,20.23,42.683,1,0.8,1.401,1.698,0,0
115-20-8,OCC(Cl)(Cl)Cl,train,3.002,20.23,42.683,1,1.209,1.43,0.476,0,0
111-42-2,OCCNCCO,train,2.957,52.49,103.377,3,-0.917,1.84,1.75,1,0
107-21-1,OCCO,train,0.122,40.46,85.367,2,-1.053,1.334,1.827,0,0
110-80-5,OCCOCC,train,1.070,29.46,53.683,1,-0.081,1.678,1.952,0,0
111-90-0,OCCOCCOCC,train,1.530,38.69,64.683,1,-0.129,2.15,1.971,0,0
57-92-1,OCC1OC(OC2C(OC3C(O)C(O)C(C(C3N=C(N)N)O)N=C(N)N)OC(C2(O)C=O)C)C(C(C1O)O)NC,train,3.077,336.43,551.098,16,-5.199,4.3,1.373,7,0
56-75-7,OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,train,3.025,115.38,179.269,3,1.228,3.039,0.787,2,1
7542-37-2,OCC1OC(C(C1OC1OC(CN)C(C(C1N)O)O)O)OC1C(O)C(N)CC(C1OC1OC(CO)C(C(C1N)O)O)N,train,3.088,347.32,571.952,18,-6.446,4.624,1.39,5,0
138-59-0,OC1CC(=CC(C1O)O)C(=O)O,train,3.177,97.99,195.878,4,-1.204,2.214,1.066,0,1
5289-74-7,OC1CC2(C)C(CC1O)C(=O)C=C1C2CCC2(C1(O)CCC2C(C(CCC(O)(C)C)O)(O)C)C,train,5.291,138.45,281.245,6,1.442,3.878,1.205,0,0
59-50-7,Oc1ccc(c(c1)C)Cl,train,4.852,20.23,42.683,1,2.461,1.975,0.737,0,0
106-41-2,Oc1ccc(cc1)Br,train,4.464,20.23,42.683,1,2.296,1.924,0.521,0,0
106-48-9,Oc1ccc(cc1)Cl,train,4.426,20.23,42.683,1,2.127,1.924,0.633,0,0
100-02-7,Oc1ccc(cc1)[N+](=O)[O-],train,4.016,66.05,93.43,1,1.348,2.119,0.784,1,0
92-69-3,Oc1ccc(cc1)c1ccccc1,train,4.668,20.23,42.683,1,3.127,2.605,0.797,0,0
50-28-2,Oc1ccc2c(c1)CCC1C2CCC2(C1CCC2O)C,train,4.962,40.46,85.367,2,3.635,3.12,1.03,0,0
135-19-3,Oc1ccc2c(c1)cccc2,train,4.610,20.23,42.683,1,2.637,2.344,0.758,0,0
108-95-2,Oc1ccccc1,train,3.850,20.23,42.683,1,1.506,1.857,0.853,0,0
95-57-8,Oc1ccccc1Cl,train,4.238,20.23,42.683,1,2.127,1.908,0.633,0,0
90-43-7,Oc1ccccc1c1ccccc1,train,5.380,20.23,42.683,1,3.127,2.57,0.797,0,0
96-45-7,S=C1NCCN1,train,3.589,56.15,36.022,2,-0.665,1.726,0.676,2,0
532-55-8,S=C=NC(=O)c1ccccc1,train,4.932,61.52,41.93,0,3.447,2.307,0.662,1,2
2257-09-2,S=C=NCCc1ccccc1,train,6.099,44.45,16.786,0,3.648,2.427,0.757,1,1
622-78-6,S=C=NCc1ccccc1,train,6.540,44.45,16.786,0,3.33,2.281,0.701,1,1
4044-65-9,S=C=Nc1ccc(cc1)N=C=S,train,6.399,88.9,33.571,0,4.405,2.456,0.568,2,2
103-72-0,S=C=Nc1ccccc1,train,6.131,44.45,16.786,0,3.265,2.134,0.637,1,1
75-15-0,S=C=S,train,4.560,64.18,0,0,-0.049,1.155,1.5,0,1
52-24-4,S=P(N1CC1)(N1CC1)N1CC1,train,2.540,50.93,0,0,0.552,2.485,1.147,3,0
149-30-4,SC1=Nc2ccccc2S1,train,4.494,79.93,16.786,1,1.769,2.239,0.793,1,0
3483-12-3,SCC(C(CS)O)O,train,3.758,118.06,85.367,4,-0.081,1.768,1.061,0,0
138261-41-3,[O-][N+](=O)NC1=NCCN1Cc1ccc(nc1)Cl,train,4.168,86.34,105.331,1,1.616,2.97,0.983,5,0
55-63-0,[O-][N+](=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-],train,3.850,165.15,185.897,0,0.575,2.608,1.809,3,0
693-21-0,[O-][N+](=O)OCCOCCO[N+](=O)[O-],train,3.339,119.33,134.931,0,0.289,2.587,1.989,2,0
602-01-7,[O-][N+](=O)c1c(C)cccc1[N+](=O)[O-],train,5.441,91.64,101.494,0,2.239,2.296,0.884,2,0
148-01-6,[O-][N+](=O)c1cc(C(=O)N)c(c(c1)[N+](=O)[O-])C,train,3.138,134.73,159.536,2,1.649,2.527,0.818,3,1
534-52-1,[O-][N+](=O)c1cc(C)c(c(c1)[N+](=O)[O-])O,train,4.790,111.87,144.177,1,1.748,2.377,0.839,2,0
118-96-7,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,train,4.390,137.46,152.241,0,2.359,2.527,0.825,3,0
88-89-1,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])O,train,3.430,157.69,194.924,1,1.543,2.527,0.647,3,0
99-51-4,[O-][N+](=O)c1ccc(c(c1)C)C,train,3.978,45.82,50.747,0,2.574,2.168,1.014,1,0
121-87-9,[O-][N+](=O)c1ccc(c(c1)Cl)N,train,4.489,71.84,83.644,2,1.969,2.168,0.531,2,0
121-14-2,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])C,train,3.718,91.64,101.494,0,2.239,2.334,0.884,2,0
97-00-7,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])Cl,train,5.402,91.64,101.494,0,2.507,2.334,0.543,2,0
51-28-5,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O,train,4.606,111.87,144.177,1,1.395,2.334,0.716,2,0
99-65-0,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-],train,3.591,91.64,101.494,0,1.886,2.287,0.769,2,0
83-41-0,[O-][N+](=O)c1cccc(c1C)C,train,4.558,45.82,50.747,0,2.574,2.141,1.014,1,0
83-42-1,[O-][N+](=O)c1cccc(c1C)Cl,train,4.611,45.82,50.747,0,2.842,2.141,0.726,1,0
3209-22-1,[O-][N+](=O)c1cccc(c1Cl)Cl,train,4.620,45.82,50.747,0,3.11,2.141,0.478,1,0
98-95-3,[O-][N+](=O)c1ccccc1,train,3.615,45.82,50.747,0,1.887,2.048,0.842,1,0
88-72-2,[O-][N+](=O)c1ccccc1C,train,4.140,45.82,50.747,0,2.241,2.09,0.942,1,0
83-32-9,c1cc2cccc3c2c(c1)CC3,train,3.575,0,0,0,3.958,2.488,0.802,0,0
2764-72-9,c1cc[n+]2c(c1)c1cccc[n+]1CC2,train,5.010,7.76,0,0,2.122,2.7,1.053,2,0
101-84-8,c1ccc(cc1)Oc1ccccc1,train,5.433,9.23,11,0,3.395,2.692,0.941,0,0
92-52-4,c1ccc(cc1)c1ccccc1,train,4.909,0,0,0,3.876,2.539,0.837,0,0
86-74-8,c1ccc2c(c1)[nH]c1c2cccc1,train,4.700,15.79,0,1,2.859,2.614,0.752,1,0
120-72-9,c1ccc2c(c1)[nH]cc2,train,5.069,15.79,0,1,1.834,2.176,0.81,1,0
50-32-8,c1ccc2c(c1)c1ccc3c4c1c(c2)ccc4ccc3,train,6.004,0,0,0,5.551,3.231,0.689,0,0
206-44-0,c1ccc2c(c1)c1cccc3c1c2ccc3,train,6.281,0,0,0,4.76,2.868,0.7,0,0
85-01-8,c1ccc2c(c1)c1ccccc1cc2,train,5.406,0,0,0,4.332,2.7,0.758,0,0
120-12-7,c1ccc2c(c1)cc1c(c2)cccc1,train,6.700,0,0,0,4.332,2.727,0.758,0,0
205-39-0,c1ccc2c(c1)ccc1c2c2ccccc2o1,train,4.737,13.14,9.507,0,3.743,2.995,0.783,0,0
205-43-6,c1ccc2c(c1)ccc1c2c2ccccc2s1,train,6.027,28.24,0,0,4.76,2.995,0.65,0,0
91-20-3,c1ccc2c(c1)cccc2,train,4.147,0,0,0,3.386,2.284,0.805,0,0
119-65-3,c1ccc2c(c1)cncc2,train,3.711,12.89,16.786,0,2.066,2.284,0.867,1,0
